title,Topic,article,keywords
Intel seen struggling to ‘find its footing’ as guidance miss sends stock tanking,economy,"Intel Corp.’s stock hasn’t seen a double-digit percentage decline in more than two years. But it might break that streak after a downbeat earnings forecast.

The company late Thursday issued an outlook for first-quarter adjusted earnings per share of 13 cents on revenue of $12.2 billion to $13.2 billion. Both forecasts came up well shy of the FactSet consensus: Analysts had been modeling 34 cents in adjusted EPS along with revenue of $14.3 billion.

“While we expect a slightly sub-seasonal first quarter from our core product businesses, we see material inventory corrections in Mobileye and PSG,” Intel INTC, +0.94% Chief Financial Officer David Zinsner said on the earnings call, referring to the Programmable Solutions Group.

Furthermore, the company anticipates “a significant drop in [Intel Foundry Services] revenue after seeing accelerated purchasing in our traditional packaging business and cyclical weakness in wafer equipment-buying in the first half of the year,” he continued.

Intel’s stock fell 10.9% in after-hours action Thursday. If such a decline carried through to Friday’s close, it would mark the stock’s worst single-day percentage decline since Oct. 22, 2021, when it fell 11.7%, according to Dow Jones Market Data. After that, the worst drop was an 8.6% plunge seen July 29, 2022.

“We think Intel shares are justifiably selling off following soft [first-quarter] guidance that leaves us to question when the company will find its footing as competitors capitalize on an ongoing AI server [capital-expenditure] cycle,” Wells Fargo analyst Aaron Rakers wrote in a note to clients.

Also read: Opinion: Intel’s stock plunge shows that Wall Street still hasn’t learned its lesson on AI hype

The guidance miss comes as Intel’s stock has enjoyed a nice recent rally, surging about 50% since the company last posted results three months ago. The recent run in the share price “raised the bar on expectations,” an HSBC analyst wrote earlier this week.

Intel’s whiff on the outlook overshadowed better-than-expected results for the latest quarter, in which the company generated net income of $2.7 billion, or 63 cents a share, versus a loss of about $700 million, or 16 cents a share, in the year-prior period. On an adjusted basis, Intel earned 54 cents a share, while analysts were modeling 45 cents a share.

“We expect to unlock further efficiencies in 2024 and beyond as we implement our new internal foundry model, which is designed to drive greater transparency and accountability and higher returns on our owners’ capital,” Zinsner said in a release.

Revenue climbed to $15.4 billion from $14.0 billion, whereas the FactSet consensus called for $15.2 billion.

Read: Missed the boat on AMD’s stock surge? Why this analyst says you’re not too late.

Intel saw a 33% boost in revenue, to $8.8 billion, from its client-computing group, which is the company’s largest unit and the one that encompasses PCs. Analysts had been modeling $8.5 billion.

Revenue from the data-center and artificial-intelligence group was down 10% to $4.0 billion, while analysts were looking for $4.1 billion.

The company’s network and edge business saw a 24% drop in revenue, to $1.5 billion, relative to a year before. That total matched the FactSet consensus.

Meanwhile, Mobileye revenue increased 13% to $637 million, and foundry services revenue jumped 63% to $291 million.

Don’t miss: Nvidia is no longer Morgan Stanley’s top chip pick. A much different name is.

Check out On Watch by MarketWatch, a weekly podcast about the financial news we’re all watching — and how that’s affecting the economy and your wallet. MarketWatch’s Jeremy Owens trains his eye on what’s driving markets and offers insights that will help you make more informed money decisions. Subscribe on Spotify and Apple.","['miss', 'foundry', 'footing', 'intel', 'company', 'sends', 'tanking', 'analysts', 'modeling', 'guidance', 'struggling', 'stock', 'revenue', 'cents', 'seen', 'share', 'billion']"
Utz voluntarily recalls 88 cases of milk-contaminated potato chips,economy,"Utz Brands’ UTZ, +3.15% subsidiary issued a voluntary recall of 88 cases of potato chips on Thursday due to an undeclared milk contamination.

Utz Quality Foods, based in Hanover, Pa., said it learned that about 1,200 single-serve bags with Utz Wavy Original Potato Chips were flavored with seasoning instead of the plain version of the chip.

The company said those with allergies or sensitivities to milk may have a reaction if they consume the product.

The items in the recall were distributed only in New York state, primarily in New York City.","['recall', 'wavy', 'utz', 'milk', '88', 'voluntarily', 'potato', 'milkcontaminated', 'cases', 'recalls', 'york', 'voluntary', 'version', 'undeclared', 'chips']"
"Visa posts earnings beat, but here’s why Wall Street says the stock is falling",economy,"Visa Inc. called out resilient spending as it logged an earnings beat for the latest quarter, but its shares were still coming under pressure in Thursday’s after-market action.

The culprit? A slowdown in U.S. volumes into January, according to analysts.

Mizuho analyst Dan Dolev noted that Visa’s V, +0.35% U.S. payment volumes decelerated in the fiscal first quarter and in the first three weeks of January, a trend driven by debit transactions.

Visa

Baird analyst David Kallo said that while the deceleration in January U.S. volumes and total processed transactions was “not a huge surprise,” those trends could cause the stock to “pull back mildly tomorrow.”

Visa Chief Financial Officer Chris Suh said the January U.S. trends reflected one-off factors that weren’t indicative of broader spending issues. For example, areas like Kansas City and Dallas have seen extreme cold temperatures that have prevented people from going out and spending.

“We’ve seen weather-related patterns before,” he said. “It doesn’t give us major concern.”

As for the December-quarter volume trends, he said the slowdown was a matter of timing.

“Putting it all together, the step-down of about 80 basis points in total U.S. payments volume growth from Q4 to Q1 was primarily due to a less favorable mix of weekends and weekdays,” he said on Visa’s earnings call.

“Consumer spend across all segments from low to high spend has remained relatively stable,” he continued. “Our data does not indicate any meaningful behavior change across consumer segments.”

Investors, though, still seemed concerned, and shares fell nearly 3% in after-hours trading Thursday.

See also: PayPal CEO sees ‘huge monetization opportunity’ after revamp, but stock drops

For the fiscal first quarter, Visa posted net income of $4.9 billion, or $2.39 a share, compared with net income of $4.2 billion, or $1.99 a share, in the year-prior period. After adjustments, Visa earned $2.41 a share, beating the FactSet consensus view, which was for $2.34 a share.

Revenue rose to $8.63 billion from $7.94 billion, whereas analysts had been looking for $8.56 billion.

The company saw an 8% boost in payments volume during the latest quarter, while processed transactions rose by 9%.

Consumer spending has been “resilient” and “quite stable,” Suh said.

The company saw a 16% boost in volume from cross-border transactions, which take place when someone makes a purchase from a merchant based in a different country. Cross-border volume typically is seen as a proxy for international travel, though it also encompasses international e-commerce purchases.

“Travel contunues to be a tailwind” and is “quite healthy,” Suh told MarketWatch.

For the fiscal second quarter, Visa expects net revenue to grow at an “upper-mid” to high-single-digit rate. The company also expects earnings per share to grow at a “high-teens” pace from a year before.

The company is sticking with its full-year forecast, which calls for low-double-digit revenue growth on an adjusted constant-dollar basis.

Fiscal 2024 could be “a little bit of a mirror image of 2023 in the sense that our first-half revenue growth rate, even if the fundamentals are very stable…will be compressed just because of the high comparables a year ago, and we see lots of reasons why the second-half-of-the-year growth rates will accelerate,” Suh told MarketWatch.

The company faces easier comparisons in the second half of the year, he said, and management expects to see favorable trends in average ticket sizes.

Check out On Watch by MarketWatch, a weekly podcast about the financial news we’re all watching — and how that’s affecting the economy and your wallet. MarketWatch’s Jeremy Owens trains his eye on what’s driving markets and offers insights that will help you make more informed money decisions. Subscribe on Spotify and Apple.","['falling', 'beat', 'volume', 'quarter', 'heres', 'earnings', 'company', 'suh', 'share', 'growth', 'volumes', 'wall', 'posts', 'stock', 'billion', 'street', 'visa', 'trends']"
"Levi Strauss to lay off up to 15% of corporate workforce, stock slides as profit forecast disappoints",economy,"With new leadership coming in after difficult 2023, Levi Strauss & Co. on Thursday announced plans to lay off staff and cut costs over the next few years — part of a multi-year “global productivity initiative” that didn’t do much for the iconic jeans-maker’s share price following a disappointing profit forecast.

Levi Strauss LEVI, +0.19% said it would lay off between 10% and 15% of its global corporate staff in the first half of this year. Executives said they expected the initiative to save $100 million in costs in its fiscal 2024, which ends in November.

The cuts and savings plan came as Chief Executive Chip Bergh prepares to depart from that role and hand the reins to Michelle Gass, who will take over on Jan. 29. Levi’s is also trying to sell more of its own denim directly to shoppers via its own physical stores and online sales network, as outside chain retailers remain cautious on stocking up too much on new clothing following nearly two years of muted demand.

“We have a strong pipeline of newness and innovation launching this year to fuel consumer demand,” Gass said in Levi Strauss’s fourth-quarter earnings release on Thursday. “And I am confident in the significant growth opportunities ahead for this company — including accelerating international growth, becoming a denim-apparel lifestyle business, and leading with” Levi’s direct-to-consumer business.

Still, shares fell 2.5% after hours, after management forecast full-year adjusted per-share profit that was below Wall Street’s expectations.

Levi’s said it expected to earn $1.15 to $1.25 for its full year. That was below FactSet forecasts for $1.33. The company expects full-year sales growth of 1% to 3%.

Levi’s results — and the roadmap it laid out for better profits — follow a host of other companies that have announced job cuts this month, as more companies look to guard their profit margins. Levi’s operating margins in the fourth quarter rose to 9.2% from 8.6% in the same quarter in 2022.

The plans also echoed those that sneaker and athletic gear-maker Nike Inc. announced in December. Nike NKE, +0.01% said it would seek up to $2 billion in cost cuts over the next three years. And it said it was leaning on “newness and innovation” to attract shoppers who, due to higher prices for necessities, haven’t been as eager to spend a lot on new shoes and clothes. One analyst said that strategy wasn’t working.

Levi’s has been hoping its bigger brand-name will help it overcome those difficulties. For the fourth quarter, the company reported sales of $1.6 billion, up 3% year over year. Levi’s reported adjusted earnings per share of 44 cents. Analysts polled by FactSet expected Levi’s to report adjusted earnings per share of 43 cents, on revenue of $1.66 billion.

Its direct-to-consumer sales — or sales from its own stores and e-commerce — jumped 11% in the fourth quarter. Those sales made up a slightly bigger chunk of overall revenue, at 42%, than during the same quarter in 2022.

However, wholesale revenues — or the sales Levi’s gets when retailers buy its clothing and sell it to people shopping in their stores — fell 2%. In that segment, management said “growth of the Levi’s brands in the U.S. and Asia was offset by a decline in Europe.”

Check out On Watch by MarketWatch, a weekly podcast about the financial news we’re all watching — and how that’s affecting the economy and your wallet. MarketWatch’s Jeremy Owens trains his eye on what’s driving markets and offers insights that will help you make more informed money decisions. Subscribe on Spotify and Apple.","['expected', 'levis', 'forecast', 'stores', 'quarter', 'levi', 'workforce', 'growth', 'share', 'profit', 'fourth', 'stock', 'disappoints', 'strauss', 'corporate', 'lay', 'slides', 'sales']"
Opinion: Intel is struggling to gain traction in AI chips while Nvidia and AMD roar ahead,economy,"It’s a tale of two worlds for Intel INTC, +0.94% these days. At a turbulent time for the silicon industry, the computer-chip giant late Thursday reported that fourth-quarter 2023 revenue rose 10% year over year, with a gross margin increase of 6.5 points. For the 2023 full-year results, however, total revenue was down 14% vs. 2022 and total gross margin slipped to 40% from 42.6%.

Compared to companies like Taiwan Semiconductor Manufacturing TSM, +0.03% or even Nvidia NVDA, +0.42% , with 2023 gross margins of 54% and 73% respectively, Intel continues to struggle to find ways to manage costs.

But looking at the overall quarterly or full-year 2023 results doesn’t tell the whole story. Intel’s two most important business units, CCG (client products) and DCAI (data center and AI infrastructure products) could not be on more divergent paths.

The client group at Intel is the cash cow, the part of the company that has continuously provided the revenue and dollars to operate and grow new business units and product lines. Looking at client group operations in last year’s fourth quarter, things look amazing. Revenue was up 33% and operating income jumped more than 450%, with operating income increasing from $500 million to $2.9 billion compared to the same quarter a year ago. The company called out “healthier alignment” to the inventory situation that was the cause for concern over the past couple of years as one of the primary reasons for the turnaround.

This paints 2024 as a potential growth opportunity for client products, inclusive of laptop and desktop CPU chips. Intel launched its new chips, called Core Ultra, for the AI PC market last month, with some systems from partners including Dell and HP available before the holiday, and many more coming this quarter. Intel’s ability to grow its client group earnings is strongly contingent on momentum and consumer excitement over adopting PCs with this new AI capability.

Many industry analysts are calling for a “supercycle” of PC upgrades in the second half of 2024 as more software and interesting consumer use cases move AI computing from the cloud to your local PC. For now, I see AI PC demand as rather soft. Looking at the enthusiast technology audience, one I general consider the leading indicator of technology trends, there is very little interest in “AI for AI’s sake” and instead I see a sense of patience for that “wow” moment to trigger the buying cycle. I’m confident it will happen.

Intel isn’t the only player in this AI PC space. Both AMD AMD, +1.14% and Qualcomm QCOM, +0.06% have very good chips with integrated AI accelerators, and interesting startups like MemryX offer add-on AI chips, so Intel will have to compete on performance and flex its channel-influence muscle to create the best software ecosystem for its parts in order to stand out.

“We are past the point of simply shrugging it off with a ‘better luck next time’ mentality. ”

If this past quarter’s results offer a lot of optimism for the client side of Intel’s house, then they bring an equal amount of questions for the data-center and AI infrastructure business unit. Revenue dropped year over year by 10% and operating income was down 38%, with an operating margin of 2%.

The company commented in a press release that the “CPU addressable market” was contracting and that there were significant competitive pressures on earnings. Yet we are past the point of simply shrugging it off with a “better luck next time” mentality. Intel’s Xeon CPU is still the dominant market-share leader in the data-center CPU chip space, even with the likes of AMD and its Epyc line of parts making inroads. But that clearly isn’t enough to grow the business.

Intel’s data-center group is having issues executing on a plan to capitalize on the AI computing craze. While Nvidia stock skyrockets to a $1.5 trillion valuation, Intel’s data-center GPU products haven’t gained a foothold. And while the Gaudi line of AI accelerators looks good on paper and in the limited benchmarks available, there’s no significant bellwether design wins or partnerships that indicate a flood of sales will be happening anytime soon.

Considering AMD is projecting revenue from its MI300 AI server chip into the billions of dollars for 2024, it’s incredibly concerning that Intel isn’t showing a plan to counter. The company announced a leadership change for this business unit this month, and while a needed move, it is not an instant band-aid to solve the AI issues Intel has.

Read: Missed the boat on AMD’s stock surge? Why this analyst says you’re not too late.

During Intel’s earnings call Q&A, CEO Pat Gelsinger indicated that Intel’s focus for AI in 2024 will be more on AI inference than training, activating and using the AI models rather than creating or building new ones. If the market is moving that way and needs to adopt a slightly different infrastructure base for that to happen, it will lean more to Intel’s strengths.

Additionally, Intel CFO David Zinsner told analysts on Thursday that there is a “$2 billion pipeline” for its “discrete accelerator portfolio” for 2024. This is a positive sign that Intel could still make headway in the data center AI space this year with its Gaudi product. A pipeline is not the same as official revenue projections or a much-needed customer announcement, but it’s a more positive sign than anything that appeared in the company’s earnings statements.

The once vaunted network and edge business unit (NEX) at the company saw revenue drop 24% year over year and operating income drop to a rounding error of zero. And the foundry services business (IFS) increases revenue to $291 million (up 63% year over year) but is still bleeding money as the company spends capital in new facilities and partnerships.

This year is going to be telling for Intel and how it will move forward into the second half the decade. Can this once-unassailable tech giant get back on its feet with Gelsinger’s help and offer both manufacturing and product excellence? Or will it continue to get beaten down by Nvidia, AMD or even Qualcomm — companies that until recently were just flies buzzing around its head?

Ryan Shrout is the President of Signal65 and founder at Shrout Research. Follow him on X @ryanshrout. Shrout has provided consulting services for AMD, Qualcomm, Intel, Arm Holdings, Micron Technology, Nvidia and others. Shrout holds shares of Intel.

More: Intel’s earnings forecast comes up well short, and the stock is tanking

Plus: Intel’s ‘make-or-break year’ will put stock’s recent surge to the test","['nvidia', 'opinion', 'roar', 'amd', 'intel', 'traction', 'company', 'gain', 'intels', 'business', 'struggling', 'ai', 'pc', 'client', 'operating', 'chips', 'revenue']"
"U.K. consumers feeling brighter as year starts, with inflation trending down",economy,"U.K. consumers continue to feel cheerier as 2024 starts, according to a survey released Friday.

Research group GfK’s Consumer Confidence Barometer rose three points to minus-19, its highest level in two years. The reading was a little better than the minus-20 expected by economists, according to a poll carried out by the Wall Street Journal.

All components of the barometer rose over the month, including sentiment on the general economic situation ahead, and confidence on making major purchases. Particularly exciting is the measure of respondents’ feelings on their personal financial situation for the coming 12 months, GfK client strategy director Joe Staton said, with the index moving out of negative territory for the first time in two years.

“This significant change is the best single indicator for how the nation’s households feel about their income and expenditure,” Staton said.

“Despite the cost-of-living crisis still impacting many households across the U.K., consumers appear to be encouraged by the positive news about falling inflation,” Staton said. “Let’s see if this optimism continues.”

Consumer prices ticked a little higher in December, though economists expect the rate of inflation to resume its fall in the months ahead.

An increase in household spending would offer a much-needed boost to the U.K. economy as the year begins. Retail sales were weak for much of the latter part of 2023, including the key December period, and economists expect a tough start to 2024 for the wider economy.","['trending', 'rose', 'situation', 'economists', 'consumers', 'starts', 'little', 'months', 'brighter', 'staton', 'uk', 'including', 'inflation', 'feeling', 'households']"
Opinion: Intel stock plunge shows Wall Street still hasn’t learned its lesson on AI hype,economy,"Intel Corp.’s disappointing forecast for the first quarter includes another anticipated double-digit decline in the company’s data-center business, as the chip maker has yet to capitalize on its AI opportunity.

Since its third-quarter earnings, Intel’s stock INTC, +0.94% has surged about 50%, in part due to the potential of providing chips for artificial intelligence. One analyst said in November that Intel represented a potential “under-the-radar AI opportunity.” But on Thursday, its shares tumbled about 11% after hours on its lower-than-expected forecast for the first quarter.

Also read: Intel’s earnings forecast comes up well short and the stock is tanking

The data center is where Nvidia Corp. NVDA, +0.42% has been cleaning up with its graphics unit processors (GPUs) designed for AI training and inference applications. Nvidia’s data-center business grew nearly 280% in its fiscal third quarter, as it continues to see nonstop demand for its GPUs to accelerate AI applications.

Intel Chief Financial Officer Dave Zinsner told analysts Thursday, though, that the company has a $2 billion pipeline for its accelerator product line, code-named Gaudi, a chip that is expected to compete with Nvidia. The next iteration, Gaudi 3, is expected to launch sometime in 2024, but CEO Pat Gelsinger did not give any specifics on timing.

“While the data center has seen some wallet-share shift between CPU and accelerators over the last several quarters, we expect growth in CPU compute cores to return to more normal historical rates and our discrete accelerator portfolio, with well over $2 billion in pipeline, to gain traction as we move through 2024,” Zinsner said Thursday.

Marbel Lopez, principal analyst at Lopez Research, said she believes Intel’s AI story is not going to kick in until the third quarter. “Inferencing is Intel’s strength and where they can win,” she said. “It’s just a longer-term game.”

Some analysts are more skeptical. Gene Munster, a managing partner at Deep Water Asset Management, told CNBC after Intel’s call that he does not believe Intel is going to get the big lift from AI that it is hoping for. “There are better ways to play the AI silicon opportunity,” he said.

Lucas Keh, an analyst at Third Bridge, said in a note to clients that he believed Intel’s new products are coming out at a slower-than-expected pace, and that software is one of the bottlenecks. He said investors were disappointed with a slower-than-expected product ramp.

“It also brings the new question of where exactly cloud players’ appetite are for Nvidia alternatives outside of their own custom silicon developments,” Keh said.

In addition to the data center, Intel also has opportunity in the PC space, where it believes that new, AI-ready PCs with Intel chips that can compute AI queries on the device instead of the cloud, will begin to take off starting in the second quarter and running through the second half of 2024.

But the lesson here is that investors got a bit ahead of themselves on Intel’s AI story, and a reminder that there is still a lot of hope surrounding AI — but not every company has concrete numbers yet.

Check out On Watch by MarketWatch, a weekly podcast about the financial news we’re all watching — and how that’s affecting the economy and your wallet. MarketWatch’s Jeremy Owens trains his eye on what’s driving markets and offers insights that will help you make more informed money decisions. Subscribe on Spotify and Apple.","['forecast', 'opinion', 'center', 'quarter', 'analyst', 'wall', 'stock', 'learned', 'nvidia', 'intels', 'lesson', 'ai', 'data', 'plunge', 'hype', 'street', 'shows', 'intel', 'opportunity']"
Norfolk Southern to reduce non-union workforce by 7%,economy,"Freight railroad Norfolk Southern NSC, +0.33% said in a staff memo Thursday that it is laying off 7% of its non-union workforce amid a tough freight cycle.

Workers affected include management and administrative staff. Based on Norfolk Southern’s employment data provided to the Surface Transportation Board, this would roughly translate to a reduction of around 330 workers.","['surface', 'translate', 'reduce', 'nonunion', 'workforce', 'tough', 'southerns', 'freight', 'norfolk', 'southern', 'staff', 'workers', 'transportation']"
GM is facing a Justice Department investigation into the gruesome Cruise robotaxi collision that critically injured a pedestrian in San Francisco,others,"General Motors is facing a U.S. Justice Department investigation into a gruesome collision that critically injured a pedestrian and derailed its self-driving car ambitions.

The Justice Department inquiry disclosed in a report Thursday is the latest twist in a debacle that began in October after a robotaxi operated by GM’s Cruise subsidiary dragged a pedestrian about 20 feet (6 meters) after the person was struck in San Francisco by another vehicle driven by a human.

The incident resulted in Cruise’s license to operate its driverless fleet in California being suspended by regulators and triggered a purge of its leadership — in addition to layoffs that jettisoned about a quarter of its workforce — as GM curtailed its once-lofty ambitions in self-driving technology. Cruise’s omission of key details about what happened in the Oct. 2 incident also led to allegations of a coverup that could result in a fine of $1.5 million. Cruise has offered to pay $75,000 instead.

GM didn’t release any details about the nature of the Justice Department’s investigation, or of another one by the U.S. Securities and Exchange Commission. A company spokesman would only say GM is cooperating with authorities.

The revelations about the latest troubles facing Detroit-based GM and San Francisco-based Cruise came in a report reviewing how things were handled after the pedestrian was hurt.

The report prepared by the law firm of Quinn Emanuel Urquhart & Sullivan rebuked Cruise’s management that has since been dumped for “poor leadership, mistakes in judgment, lack of coordination, an ‘us versus them’ mentality with regulators.” But the report also asserted that Cruise initially thought it had shown California regulators a video that included segments showing a robotaxi named “Panini” dragging the pedestrian, only to discover later that scene hadn’t been seen because of internet streaming issues.

The report blamed Cruise for having a “myopic focus” on protecting its reputation instead of setting the record straight after management realized regulators hadn’t seen the video of the incident in its entirety.

“Cruise must take decisive steps to address these issues in order to restore trust and credibility,” according to the report’s summary findings.

GM has already installed a new management team at Cruise and walked back its goals for a driverless division that was supposed to transform the transportation industry by operating robotic ride-hailing services across the U.S. Even as skeptics raised doubts about whether autonomous driving technology had become reliable enough to realize that vision, GM was projecting Cruise would generate $1 billion in revenue by 2025 — 10 times the amount it had been bringing in during a ramp-up phase that resulted in billions of dollars in losses.

Cruise had cleared a significant hurdle last August when California regulators approved its request to begin operating its robotaxi service throughout San Francisco at all hours — over the strenuous objections of city officials — only to have it all unravel in early October.","['gruesome', 'facing', 'cruise', 'management', 'justice', 'regulators', 'report', 'pedestrian', 'san', 'investigation', 'incident', 'injured', 'robotaxi', 'francisco', 'gm']"
"4,700 U.S. auto dealers urge President Biden to ‘hit the brakes’ on EPA push on stricter vehicle-pollution standards",environment,"More than 4,700 auto dealerships across the United States urged President Joe Biden in a letter Thursday to halt the Environmental Protection Agency’s efforts to enforce stricter vehicle-pollution standards.

The missive comes just weeks before the agency’s expected ruling on its tailpipe-emissions proposal, which addresses both climate change and pollutants that are harmful to health.

It is the second letter that auto dealers have sent to the White House in two months on the EPA’s upcoming ruling, which could codify the agency’s strictest-ever tailpipe emissions limits, proposed last April. The dealerships said Thursday that the Biden administration did not respond to their first letter sent on Nov. 28.

An EPA spokesperson said the agency cannot comment as the proposal is currently in the interagency review process.

“President Biden is investing in a future that is made in America by American workers as we position the United States to lead the clean energy future,” a White House spokesperson said in a statement Thursday. “More Americans are buying EVs every day—with EV sales rising faster than traditional gas-powered cars—as the President’s Inflation Reduction Act makes EVs more affordable and helps Americans save money when driving.”

With the world focused on trying to limit warming to no more than 1.5-degree Celsius temperature above pre-industrial times, the administration has an ambitious goal to cut domestic planet-warming greenhouse gas emissions in half by 2030. Part of its focus is on the transportation sector, 58% of the emissions from which come from passenger cars and trucks, according to the EPA. The regulation also limits hydrocarbons, nitrogen oxides, and particulate matter into the air. These emissions cause a host of health issues and disproportionately affect people who live near heavy traffic.

The EPA says its proposed regulations could mean that up to two out of every three vehicles sold in the U.S. are electric by 2032. That’s higher than the administration’s target of 50% set two years ago.

The regulations, which impact light- and medium-duty vehicles beginning with the 2027 model year, could mean a 56% drop in projected greenhouse gas emissions from the fleet, relative to existing standards, avoiding nearly 7.3 billion metric tons of carbon dioxide emissions by 2055. They also reduce pollutants harmful to health by 60% from the existing standard by model year 2032.

Most automakers around the globe have pledged hundreds of billions of dollars to transition to all-electric new vehicle sales in the coming decade as momentum to address climate change builds. Last year, U.S. EV sales overall grew 47% to a record 1.2 million, according to Motorintelligence.com. EVs are seeing year-over-year growth, but only hit 7.6% of overall market share in 2023.

Given that, thousands of auto dealers say they won’t be able to meet the EPA’s stringent goals.

Nearly 4,000 dealerships of the nearly 17,000 franchised shops nationwide asked Biden to “tap the brakes” on the EPA proposal in the November letter, referring to the rules as an “electric vehicle mandate.” House Republicans approved a bill in December to block the pollution limits and also called the rules a mandate.

In this week’s letter, the dealerships asked Biden to “hit the brakes” entirely, citing several factors that they say indicate slowing EV adoption. The signers said the supply of EVs on dealer lots is twice that of internal combustion engine vehicles, and that they won’t be able to sell EVs at the rate the regulations would require.

“It is uncontestable that the combination of fewer tax incentives, a woefully inadequate charging infrastructure, and insufficient consumer demand makes the proposed electric vehicle mandate completely unrealistic,” the letter says.

The EPA’s tailpipe-pollution limits wouldn’t require automakers to sell a specific number of EVs every year.

Automakers can meet EPA regulations not just through pure-electric vehicle sales, but also through a sales mix including hybrid and plug-in hybrid electric vehicles, plus cleaner internal-combustion engine vehicles. The EPA has also said that the auto industry could employ widespread use of particulate filters, which mitigate the soot emitted from conventional gasoline-fueled engines.

“In order to stay on track to meeting overall climate policy goals that have been adopted by the country, I think it’s important to be aggressive in this sector where you have the technology, progress is being made, there’s momentum in markets,” said Jessika Trancik, a professor in energy studies at the Massachusetts Institute of Technology. “This can be a really important part of the overall effort to reach 2030 and ultimately, 2050 emissions reduction targets.

“There are a number of different ways you can improve efficiencies and reduce emissions,” Trancik added. But, “If you want to meet those targets, fully electric vehicles are probably going to be a really important tool, at least in part, to allow for that because they do offer the greatest emissions cuts.”

The EPA is also proposing regulations for medium- and heavy-duty trucks, and the government’s National Highway Traffic Safety Administration has separately proposed a fuel-economy increase.","['biden', 'brakes', 'emissions', 'evs', 'vehicle', 'sales', 'hit', 'push', 'stricter', 'regulations', 'president', 'epa', 'letter', 'vehicles', 'vehiclepollution', 'dealers', 'standards', 'urge', 'electric']"
